idade,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,divida_total,investimento_mensal,score_credito
23.0,19114.12,3.0,4.0,3.0,4.0,3.0,7.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,3.0,4.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,3.0,7.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,5.0,4.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,6.0,4.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,8.0,4.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,3.0,8.0,809.98,21.465.380.264.657.100,Alto
23.0,19114.12,3.0,4.0,3.0,4.0,3.0,6.0,809.98,21.465.380.264.657.100,Regular
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,605.03,39.684.018.417.945.200,Regular
28.0,34847.84,2.0,4.0,6.0,1.0,7.0,1.0,605.03,39.684.018.417.945.200,Alto
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,1.0,605.03,39.684.018.417.945.200,Regular
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,3.0,605.03,39.684.018.417.945.200,Alto
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,1.0,605.03,39.684.018.417.945.200,Alto
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,0.0,605.03,39.684.018.417.945.200,Alto
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,605.03,39.684.018.417.945.200,Alto
28.0,34847.84,2.0,4.0,6.0,1.0,3.0,4.0,605.03,39.684.018.417.945.200,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,5.0,8.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,13.0,6.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,8.0,7.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,8.0,5.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,10.0,5.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,8.0,6.0,1303.01,168.413.702.679.309,Alto
34.0,143162.64,1.0,5.0,8.0,3.0,8.0,6.0,1303.01,168.413.702.679.309,Regular
34.0,143162.64,1.0,5.0,8.0,3.0,8.0,6.0,1303.01,168.413.702.679.309,Regular
54.0,30689.89,2.0,5.0,4.0,1.0,0.0,6.0,632.46,29.393.311.428.984.400,Regular
54.0,30689.89,2.0,5.0,4.0,1.0,5.0,3.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,3.0,9.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,7.0,6.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,5.0,6.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,5.0,6.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,5.0,6.0,632.46,29.393.311.428.984.400,Regular
55.0,30689.89,2.0,5.0,4.0,1.0,4.0,9.0,632.46,29.393.311.428.984.400,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,5.0,15.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,9.0,15.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,5.0,12.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,1.0,15.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,9.0,17.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,5.0,15.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,10.0,15.0,943.86,3.764.363.788.963.990,Regular
21.0,35547.71,7.0,5.0,5.0,0.0,1.0,15.0,943.86,3.764.363.788.963.990,Regular
31.0,73928.46,4.0,5.0,8.0,0.0,12.0,10.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,8.0,7.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,8.0,7.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,8.0,7.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,11.0,7.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,7.0,7.0,548.2,4.263.559.025.189.570,Alto
31.0,73928.46,4.0,5.0,8.0,0.0,8.0,4.0,548.2,4.263.559.025.189.570,Regular
31.0,73928.46,4.0,5.0,8.0,0.0,8.0,7.0,548.2,4.263.559.025.189.570,Alto
33.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,4.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,3.0,352.16,8.656.638.801.207.530,Regular
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,352.16,8.656.638.801.207.530,Alto
34.0,131313.4,0.0,1.0,8.0,2.0,0.0,2.0,352.16,8.656.638.801.207.530,Alto
30.0,34081.38,8.0,7.0,15.0,3.0,30.0,11.0,1704.18,2.932.636.371.091.450,Baixo
30.0,34081.38,8.0,7.0,15.0,3.0,30.0,14.0,1704.18,2.932.636.371.091.450,Baixo
30.0,34081.38,8.0,7.0,15.0,3.0,31.0,14.0,1704.18,2.932.636.371.091.450,Baixo
30.0,34081.38,8.0,7.0,15.0,3.0,34.0,14.0,1704.18,2.932.636.371.091.450,Baixo
